,city_name,country_code,latitude,longitude,temperature,humidity,cloudiness,wind_speed
2591,acajutla,sv,10.73645042440782,-90.56133239593873,74.8,79.0,0.0,3.69
2592,xiuyan,cn,40.128638469456035,123.60697832192943,57.65,55.0,20.0,6.26
2600,kiruna,se,67.52088017151493,20.795949855934396,15.8,85.0,88.0,2.91
2601,caxito,ao,-7.664156216723981,13.597783236358765,75.47,78.0,56.0,1.68
2603,colombo,lk,6.822943632844726,79.01009120614361,83.8,91.0,56.0,3.13
2606,sayyan,ye,16.328726805713643,46.83603594797688,46.94,52.0,0.0,1.9
2608,lisakovsk,kz,50.60809598976826,62.89658527171099,31.15,93.0,80.0,13.76
2609,shahgarh,in,24.356765082363992,79.36879596013063,81.59,40.0,0.0,4.36
2624,mustasaari,fi,63.589159379066615,21.846318799264026,24.8,58.0,0.0,5.82
2628,pirgos,gr,34.796409257531764,25.101406058540277,57.2,58.0,20.0,11.41
2631,olinda,br,-10.042967104018942,-26.384427081239153,80.6,65.0,0.0,6.93
2635,bowen,au,-20.641735580831337,148.4054029125723,77.0,94.0,90.0,16.11
2641,bara,sd,14.04384051871638,29.047693343295748,75.43,34.0,24.0,5.7
2644,sobolevo,ru,55.44610271211184,157.1279895919048,41.95,93.0,92.0,21.7
2646,mahibadhoo,mv,3.8852110214765645,66.05822228936537,85.1,100.0,88.0,7.05
2652,manaure,co,14.973968499800463,-72.77111398055507,77.81,95.0,0.0,19.69
2655,stepnyak,kz,52.83844236470412,70.98847709271496,20.08,90.0,68.0,13.42
2658,novo aripuana,br,-6.219910962531486,-59.45378649081867,78.35,89.0,12.0,2.57
2659,limbang,my,4.529914601319774,115.2636046564229,84.2,74.0,75.0,3.36
2669,axim,gh,0.56891763688418,-3.9711234225912335,81.28,100.0,20.0,11.07
2670,ursulo galvan,mx,20.03488874296096,-95.63415328267357,73.31,87.0,0.0,8.39
2674,mecca,sa,21.235087411726184,39.99430535836444,80.6,65.0,0.0,3.13
2677,paso de carrasco,uy,-34.95071049472308,-55.86883353416958,69.8,88.0,75.0,11.41
2678,fukue,jp,31.4117321121021,126.62196258340168,64.4,68.0,0.0,3.36
2680,cortez,us,37.03754943007124,-108.75045970425967,57.2,16.0,1.0,6.93
2682,shima,cn,23.987979754255235,117.58343276794102,64.4,68.0,0.0,3.36
2684,inirida,co,3.6784657477484615,-65.6189344147701,74.84,91.0,80.0,1.68
2691,popondetta,pg,-7.722309991519879,148.47658361274188,77.23,87.0,64.0,1.9
2695,tazovskiy,ru,69.77932650880251,78.14187601169692,-9.99,70.0,56.0,15.99
2704,nevsehir,tr,38.84859261600056,34.75534229556072,43.9,61.0,0.0,6.93
2707,aitape,pg,-2.7276718272792664,142.56002932421177,79.75,100.0,76.0,4.14
2712,halifax,ca,42.8580643404197,-62.94307439585148,39.2,100.0,20.0,12.75
2714,jefferson city,us,38.58997736461302,-92.50527071566854,26.94,86.0,90.0,4.7
2719,paita,pe,-6.336828701643654,-84.44552867798161,70.25,79.0,32.0,3.8
2723,palmas,br,-10.37285246686794,-47.40611775981756,77.0,100.0,20.0,3.36
2734,tiarei,pf,-13.058114754899663,-144.93248046719316,87.8,58.0,40.0,2.24
2742,tupelo,us,34.00679956778981,-88.38966280755028,68.0,40.0,1.0,4.7
2750,parkersburg,us,39.012667832408454,-81.77739536722588,45.23,65.0,75.0,3.36
2757,sacama,co,6.1870643314557725,-72.0114250543537,54.95,94.0,44.0,1.57
2768,gull lake,ca,50.28511368293968,-108.64343817227318,12.2,61.0,90.0,8.39
2769,hailin,cn,44.71725834921182,128.99136131640023,62.6,62.0,0.0,12.75
2774,rio grande,br,-35.74231638973647,-48.49965579120547,70.75,97.0,88.0,10.51
2776,birjand,ir,31.546155533238235,58.95083809697104,57.2,35.0,88.0,11.41
2777,tessalit,ml,23.943007878765982,4.605885670111093,68.72,28.0,20.0,4.7
2784,zyryanka,ru,66.71008395240648,149.83478888373782,25.97,69.0,12.0,7.83
2786,misratah,ly,33.94993290799934,16.794186821105285,55.94,99.0,92.0,3.69
